Mod:Item:MetaData, Localized Name
gregtech:gt.blockmachines:11076, Epic Short Circuit Heater IV
gregtech:gt.blockmachines:11080, Elite Centrifuge
gregtech:gt.blockmachines:11081, Elite Centrifuge II
gregtech:gt.blockmachines:11082, Ultimate Molecular Tornado
gregtech:gt.blockmachines:11083, Epic Molecular Tornado
gregtech:gt.blockmachines:11084, Epic Molecular Tornado II
gregtech:gt.blockmachines:11085, Epic Molecular Tornado III
gregtech:gt.blockmachines:11086, Epic Molecular Tornado IV
gregtech:gt.blockmachines:11090, Elite Plasma Arc Furnace
gregtech:gt.blockmachines:11091, Elite Plasma Arc Furnace II
gregtech:gt.blockmachines:11092, Ultimate Plasma Discharge Heater
gregtech:gt.blockmachines:11093, Epic Plasma Discharge Heater
gregtech:gt.blockmachines:11094, Epic Plasma Discharge Heater II
gregtech:gt.blockmachines:11095, Epic Plasma Discharge Heater III
gregtech:gt.blockmachines:11096, Epic Plasma Discharge Heater IV
gregtech:gt.blockmachines:11100, Basic World Accelerator
gregtech:gt.blockmachines:11101, Advanced World Accelerator
gregtech:gt.blockmachines:11102, Advanced World Accelerator II
gregtech:gt.blockmachines:11103, Advanced World Accelerator III
gregtech:gt.blockmachines:11104, Advanced World Accelerator IV
gregtech:gt.blockmachines:11105, Elite World Accelerator
gregtech:gt.blockmachines:11106, Elite World Accelerator II
gregtech:gt.blockmachines:11107, Ultimate Time Anomaly
gregtech:gt.blockmachines:11120, Elite Brewery
gregtech:gt.blockmachines:11121, Elite Brewery II
gregtech:gt.blockmachines:11122, Ultimate Brew Rusher
gregtech:gt.blockmachines:11123, Epic Brew Rusher
gregtech:gt.blockmachines:11124, Epic Brew Rusher II
gregtech:gt.blockmachines:11125, Epic Brew Rusher III
gregtech:gt.blockmachines:11126, Epic Brew Rusher IV
gregtech:gt.blockmachines:11130, Elite Canning Machine
gregtech:gt.blockmachines:11131, Elite Canning Machine II
gregtech:gt.blockmachines:11132, Ultimate Can Operator
gregtech:gt.blockmachines:11133, Epic Can Operator
gregtech:gt.blockmachines:11134, Epic Can Operator II
gregtech:gt.blockmachines:11135, Epic Can Operator III
gregtech:gt.blockmachines:11136, Epic Can Operator IV
gregtech:gt.blockmachines:11140, Elite Chemical Bath
gregtech:gt.blockmachines:11141, Elite Chemical Bath II
gregtech:gt.blockmachines:11142, Ultimate Chemical Dunktron
gregtech:gt.blockmachines:11143, Epic Chemical Dunktron
gregtech:gt.blockmachines:11144, Epic Chemical Dunktron II
gregtech:gt.blockmachines:11145, Epic Chemical Dunktron III
gregtech:gt.blockmachines:11146, Epic Chemical Dunktron IV
gregtech:gt.blockmachines:11150, Elite Chemical Reactor
gregtech:gt.blockmachines:11151, Elite Chemical Reactor II
gregtech:gt.blockmachines:11152, Ultimate Chemical Performer
gregtech:gt.blockmachines:11153, Epic Chemical Performer
gregtech:gt.blockmachines:11154, Epic Chemical Performer II
gregtech:gt.blockmachines:11155, Epic Chemical Performer III
gregtech:gt.blockmachines:11156, Epic Chemical Performer IV
gregtech:gt.blockmachines:11170, Elite Fermenter
gregtech:gt.blockmachines:11171, Elite Fermenter II
gregtech:gt.blockmachines:11172, Ultimate Fermentation Hastener
gregtech:gt.blockmachines:11173, Epic Fermentation Hastener
gregtech:gt.blockmachines:11174, Epic Fermentation Hastener II
gregtech:gt.blockmachines:11175, Epic Fermentation Hastener III
gregtech:gt.blockmachines:11176, Epic Fermentation Hastener IV
gregtech:gt.blockmachines:11180, Elite Fluid Canner
gregtech:gt.blockmachines:11181, Elite Fluid Canner II
gregtech:gt.blockmachines:11182, Ultimate Liquid Can Actuator
gregtech:gt.blockmachines:11183, Epic Liquid Can Actuator
gregtech:gt.blockmachines:11184, Epic Liquid Can Actuator II
gregtech:gt.blockmachines:11185, Epic Liquid Can Actuator III
gregtech:gt.blockmachines:11186, Epic Liquid Can Actuator IV
gregtech:gt.blockmachines:11190, Elite Fluid Extractor
gregtech:gt.blockmachines:11191, Elite Fluid Extractor II
gregtech:gt.blockmachines:11192, Ultimate Liquefying Sucker
gregtech:gt.blockmachines:11193, Epic Liquefying Sucker
gregtech:gt.blockmachines:11194, Epic Liquefying Sucker II
gregtech:gt.blockmachines:11195, Epic Liquefying Sucker III
gregtech:gt.blockmachines:11196, Epic Liquefying Sucker IV
gregtech:gt.blockmachines:11200, Elite Fluid Heater
gregtech:gt.blockmachines:11201, Elite Fluid Heater II
gregtech:gt.blockmachines:11202, Ultimate Heat Infuser
gregtech:gt.blockmachines:11203, Epic Heat Infuser
gregtech:gt.blockmachines:11204, Epic Heat Infuser II
gregtech:gt.blockmachines:11205, Epic Heat Infuser III
gregtech:gt.blockmachines:11206, Epic Heat Infuser IV
gregtech:gt.blockmachines:11210, Elite Mixer
gregtech:gt.blockmachines:11211, Elite Mixer II
gregtech:gt.blockmachines:11212, Ultimate Matter Organizer
gregtech:gt.blockmachines:11213, Epic Matter Organizer
gregtech:gt.blockmachines:11214, Epic Matter Organizer II
gregtech:gt.blockmachines:11215, Epic Matter Organizer III
gregtech:gt.blockmachines:11216, Epic Matter Organizer IV
gregtech:gt.blockmachines:11220, Highly Ultimate Transformer
gregtech:gt.blockmachines:11221, Extremely Ultimate Transformer
gregtech:gt.blockmachines:11222, Insanely Ultimate Transformer
gregtech:gt.blockmachines:11223, Mega Ultimate Transformer
gregtech:gt.blockmachines:11224, Extended Mega Ultimate Transformer
gregtech:gt.blockmachines:11230, UEV Machine Hull
gregtech:gt.blockmachines:11231, UIV Machine Hull
gregtech:gt.blockmachines:11232, UMV Machine Hull
gregtech:gt.blockmachines:11233, UXV Machine Hull
gregtech:gt.blockmachines:11234, MAX Machine Hull
gregtech:gt.blockmachines:11240, Extremely Ultimate Battery Buffer
gregtech:gt.blockmachines:11241, Insanely Ultimate Battery Buffer
gregtech:gt.blockmachines:11242, Mega Ultimate Battery Buffer
gregtech:gt.blockmachines:11243, Extended Mega Ultimate Battery Buffer
gregtech:gt.blockmachines:11245, Maximum Battery Buffer
gregtech:gt.blockmachines:11250, Extremely Ultimate Battery Buffer
gregtech:gt.blockmachines:11251, Insanely Ultimate Battery Buffer
gregtech:gt.blockmachines:11252, Mega Ultimate Battery Buffer
gregtech:gt.blockmachines:11253, Extended Mega Ultimate Battery Buffer
gregtech:gt.blockmachines:11255, Maximum Battery Buffer
gregtech:gt.blockmachines:11260, Extremely Ultimate Battery Buffer
gregtech:gt.blockmachines:11261, Insanely Ultimate Battery Buffer
gregtech:gt.blockmachines:11262, Mega Ultimate Battery Buffer
gregtech:gt.blockmachines:11263, Extended Mega Ultimate Battery Buffer
gregtech:gt.blockmachines:11265, Maximum Battery Buffer
gregtech:gt.blockmachines:11270, Extremely Ultimate Battery Buffer
gregtech:gt.blockmachines:11271, Insanely Ultimate Battery Buffer
gregtech:gt.blockmachines:11272, Mega Ultimate Battery Buffer
gregtech:gt.blockmachines:11273, Extended Mega Ultimate Battery Buffer
gregtech:gt.blockmachines:11275, Maximum Battery Buffer
gregtech:gt.blockmachines:11280, Extremely Ultimate Battery Charger
gregtech:gt.blockmachines:11281, Insanely Ultimate Battery Charger
gregtech:gt.blockmachines:11282, Mega Ultimate Battery Charger
gregtech:gt.blockmachines:11283, Extended Mega Ultimate Battery Charger
gregtech:gt.blockmachines:11290, UEV Dynamo Hatch
gregtech:gt.blockmachines:11291, UIV Dynamo Hatch
gregtech:gt.blockmachines:11292, UMV Dynamo Hatch
gregtech:gt.blockmachines:11293, UXV Dynamo Hatch
gregtech:gt.blockmachines:11300, UEV Energy Hatch
gregtech:gt.blockmachines:11301, UIV Energy Hatch
gregtech:gt.blockmachines:11302, UMV Energy Hatch
gregtech:gt.blockmachines:11303, UXV Energy Hatch
gregtech:gt.blockmachines:11304, Debug Energy Hatch
gregtech:gt.blockmachines:11305, Debug Input Bus
gregtech:gt.blockmachines:11306, Debug Input Hatch
gregtech:gt.blockmachines:11910, Extremely Ultimate Hi-Amp Transformer
gregtech:gt.blockmachines:11911, Insanely Ultimate Hi-Amp Transformer
gregtech:gt.blockmachines:11912, Mega Ultimate Hi-Amp Transformer
gregtech:gt.blockmachines:11913, Extended Mega Ultimate Hi-Amp Transformer
gregtech:gt.blockmachines:11989, Highly Ultimate Hi-Amp Transformer
gregtech:gt.blockmachines:12000, Ultra Low Voltage Power Transformer
gregtech:gt.blockmachines:12001, Low Voltage Power Transformer
gregtech:gt.blockmachines:12002, Medium Voltage Power Transformer
gregtech:gt.blockmachines:12003, High Voltage Power Transformer
gregtech:gt.blockmachines:12004, Extreme Power Transformer
gregtech:gt.blockmachines:12005, Insane Power Transformer
gregtech:gt.blockmachines:12006, Ludicrous Power Transformer
gregtech:gt.blockmachines:12007, ZPM Voltage Power Transformer
gregtech:gt.blockmachines:12008, Ultimate Power Transformer
gregtech:gt.blockmachines:12009, Highly Ultimate Power Transformer
gregtech:gt.blockmachines:12010, Extremely Ultimate Power Transformer
gregtech:gt.blockmachines:12011, Insanely Ultimate Power Transformer
gregtech:gt.blockmachines:12012, Mega Ultimate Power Transformer
gregtech:gt.blockmachines:12013, Extended Mega Ultimate Power Transformer
gregtech:gt.blockmachines:12020, Electric Air Filter T1
gregtech:gt.blockmachines:12021, Electric Air Filter T2
gregtech:gt.blockmachines:12022, Electric Air Filter T3
gregtech:gt.blockmachines:12040, Ultra Low Voltage Turbo Charger
gregtech:gt.blockmachines:12041, Low Voltage Turbo Charger
gregtech:gt.blockmachines:12042, Medium Voltage Turbo Charger
gregtech:gt.blockmachines:12043, High Voltage Turbo Charger
gregtech:gt.blockmachines:12044, Extreme Voltage Turbo Charger
gregtech:gt.blockmachines:12045, Insane Voltage Turbo Charger
gregtech:gt.blockmachines:12046, Ludicrous Voltage Turbo Charger
gregtech:gt.blockmachines:12047, ZPM Voltage Turbo Charger
gregtech:gt.blockmachines:12048, Ultimate Voltage Turbo Charger
gregtech:gt.blockmachines:12049, Highly Ultimate Voltage Turbo Charger
gregtech:gt.blockmachines:12060, Ultra High Voltage Chest Buffer
gregtech:gt.blockmachines:12061, UIV Voltage Chest Buffer
gregtech:gt.blockmachines:12062, UMV Voltage Chest Buffer
gregtech:gt.blockmachines:12070, Name Remover
gregtech:gt.blockmachines:12080, Cryogenic Magma Solidifier R-9200
gregtech:gt.blockmachines:12081, Cryogenic Magma Solidifier R-10200
gregtech:gt.blockmachines:12082, Cryogenic Magma Solidifier R-11200
gregtech:gt.blockmachines:12083, Cryogenic Magma Solidifier R-12200
gregtech:gt.blockmachines:12084, Cryogenic Magma Solidifier R-13200
gregtech:gt.blockmachines:12085, Cryogenic Magma Solidifier R-14200
gregtech:gt.blockmachines:12086, Cryogenic Magma Solidifier R-15200
gregtech:gt.blockmachines:12090, Ultimate Circuit Assembling Machine
gregtech:gt.blockmachines:12091, Ultimate Circuit Assembling Machine II
gregtech:gt.blockmachines:12092, Ultimate Circuit Assembling Machine III
gregtech:gt.blockmachines:12093, Ultimate Circuit Assembling Machine IV
gregtech:gt.blockmachines:12094, Ultimate Circuit Assembling Machine V
gregtech:gt.blockmachines:12096, MAX Circuit Assembling Machine
gregtech:gt.blockmachines:12097, Input Hatch (UEV)
gregtech:gt.blockmachines:12098, Input Hatch (UIV)
gregtech:gt.blockmachines:12099, Input Hatch (UMV)
gregtech:gt.blockmachines:12100, Input Hatch (UXV)
gregtech:gt.blockmachines:12102, Input Hatch (MAX)
gregtech:gt.blockmachines:12103, Output Hatch (UEV)
gregtech:gt.blockmachines:12104, Output Hatch (UIV)
gregtech:gt.blockmachines:12105, Output Hatch (UMV)
gregtech:gt.blockmachines:12106, Output Hatch (UXV)
gregtech:gt.blockmachines:12108, Output Hatch (MAX)
gregtech:gt.blockmachines:12109, Void Hatch
gregtech:gt.blockmachines:12110, Void Bus
gregtech:gt.blockmachines:13115, Miniature Wormhole Generator
gregtech:gt.blockmachines:13532, Advanced Assembly Line
gregtech:gt.blockmachines:13533, Linked Input Bus
gregtech:gt.blockmachines:14050, Exo-Foundry
gregtech:gt.blockmachines:14101, Large Molecular Assembler
gregtech:gt.blockmachines:14301, Basic Electric Jukebox
gregtech:gt.blockmachines:14302, Advanced Electric Jukebox
gregtech:gt.blockmachines:14303, Advanced Electric Jukebox II
gregtech:gt.blockmachines:14304, Extreme Music Mixer
gregtech:gt.blockmachines:14305, Duke Mix'em 3D
gregtech:gt.blockmachines:15511, Industrial Wire Factory
gregtech:gt.blockmachines:15512, Industrial Centrifuge
gregtech:gt.blockmachines:15513, Amazon Warehousing Depot
gregtech:gt.blockmachines:15514, Industrial Electrolyzer
gregtech:gt.blockmachines:15515, Mega Chemical Reactor
gregtech:gt.blockmachines:15524, Large Steam Turbine
gregtech:gt.blockmachines:15525, Large HP Steam Turbine
gregtech:gt.blockmachines:15526, Large Supercritical Steam Turbine
gregtech:gt.blockmachines:15527, Large Gas Turbine
gregtech:gt.blockmachines:15528, Large Plasma Turbine
gregtech:gt.blockmachines:15529, Large Bronze Boiler
gregtech:gt.blockmachines:15530, Large Steel Boiler
gregtech:gt.blockmachines:15531, Large Titanium Boiler
gregtech:gt.blockmachines:15532, Large Tungstensteel Boiler
gregtech:gt.blockmachines:15533, Large Combustion Engine
gregtech:gt.blockmachines:15534, Extreme Combustion Engine
gregtech:gt.blockmachines:15535, Universal Chemical Fuel Engine
gregtech:gt.blockmachines:15536, Naquadah Fuel Refinery
gregtech:gt.blockmachines:15537, Large Naquadah Reactor
gregtech:gt.blockmachines:15538, Large Thermal Refinery
gregtech:gt.blockmachines:15539, Industrial Maceration Stack
gregtech:gt.blockmachines:15541, Tree Growth Simulator
gregtech:gt.blockmachines:15542, Large Sifter Control Block
gregtech:gt.blockmachines:15543, Industrial Coke Oven
gregtech:gt.blockmachines:15544, Zhuhai - Fishing Port
gregtech:gt.blockmachines:15546, Pyrolyse Oven
gregtech:gt.blockmachines:15547, Density^2
gregtech:gt.blockmachines:15549, Industrial Extrusion Machine
gregtech:gt.blockmachines:15550, Ore Washing Plant
gregtech:gt.blockmachines:15551, Industrial Chemical Bath
gregtech:gt.blockmachines:15552, Industrial Forming Press
gregtech:gt.blockmachines:15553, Industrial Bending Machine
gregtech:gt.blockmachines:15555, Industrial Sledgehammer
gregtech:gt.blockmachines:15556, Boldarnator
gregtech:gt.blockmachines:15558, Molecular Transformer
gregtech:gt.blockmachines:15560, Flotation Cell Regulator
gregtech:gt.blockmachines:15563, Electric Implosion Compressor
gregtech:gt.blockmachines:15564, Integrated Ore Factory
gregtech:gt.blockmachines:15565, Cryogenic Freezer
gregtech:gt.blockmachines:15566, Industrial Mixing Machine
gregtech:gt.blockmachines:15750, Entropic Processor
gregtech:gt.blockmachines:15751, Decay Warehouse
gregtech:gt.blockmachines:15752, L.A.T.E.X.
gregtech:gt.blockmachines:29990, Advanced MagLev Pylon
gregtech:gt.blockmachines:29991, Advanced MagLev Pylon II
gregtech:gt.blockmachines:29992, Advanced MagLev Pylon III
gregtech:gt.blockmachines:31088, Large Neutralization Engine
gregtech:gt.blockcasings:0, ULV Machine Casing
gregtech:gt.blockcasings:1, LV Machine Casing
gregtech:gt.blockcasings:2, MV Machine Casing
gregtech:gt.blockcasings:3, HV Machine Casing
gregtech:gt.blockcasings:4, EV Machine Casing
gregtech:gt.blockcasings:5, IV Machine Casing
gregtech:gt.blockcasings:6, LuV Machine Casing
gregtech:gt.blockcasings:7, ZPM Machine Casing
gregtech:gt.blockcasings:8, UV Machine Casing
gregtech:gt.blockcasings:9, UHV Machine Casing
gregtech:gt.blockcasings:10, Bronze Plated Bricks
gregtech:gt.blockcasings:11, Heat Proof Machine Casing
gregtech:gt.blockcasings:12, Dimensionally Transcendent Casing
gregtech:gt.blockcasings:13, Dimensional Injection Casing
gregtech:gt.blockcasings:14, Dimensional Bridge
gregtech:gt.blockcasings:15, Superconducting Coil Block
gregtech:gt.blockcasings2:0, Solid Steel Machine Casing
gregtech:gt.blockcasings2:1, Frost Proof Machine Casing
gregtech:gt.blockcasings2:2, Bronze Gear Box Casing
gregtech:gt.blockcasings2:3, Steel Gear Box Casing
gregtech:gt.blockcasings2:4, Titanium Gear Box Casing
gregtech:gt.blockcasings2:5, Assembly Line Casing
gregtech:gt.blockcasings2:6, Processor Machine Casing
gregtech:gt.blockcasings2:7, Data Drive Machine Casing
gregtech:gt.blockcasings2:8, Containment Field Machine Casing
gregtech:gt.blockcasings2:9, Assembler Machine Casing
gregtech:gt.blockcasings2:10, Pump Machine Casing
gregtech:gt.blockcasings2:11, Motor Machine Casing
gregtech:gt.blockcasings2:12, Bronze Pipe Casing
gregtech:gt.blockcasings2:13, Steel Pipe Casing
gregtech:gt.blockcasings2:14, Titanium Pipe Casing
gregtech:gt.blockcasings2:15, Tungstensteel Pipe Casing
gregtech:gt.blockcasings3:0, Yellow Stripes Block
gregtech:gt.blockcasings3:1, Yellow Stripes Block
gregtech:gt.blockcasings3:2, Radioactive Hazard Sign Block
gregtech:gt.blockcasings3:3, Bio Hazard Sign Block
gregtech:gt.blockcasings3:4, Explosion Hazard Sign Block
gregtech:gt.blockcasings3:5, Fire Hazard Sign Block
gregtech:gt.blockcasings3:6, Acid Hazard Sign Block
gregtech:gt.blockcasings3:7, Magic Hazard Sign Block
gregtech:gt.blockcasings3:8, Frost Hazard Sign Block
gregtech:gt.blockcasings3:9, Noise Hazard Sign Block
gregtech:gt.blockcasings3:10, Grate Machine Casing
gregtech:gt.blockcasings3:11, Filter Machine Casing
gregtech:gt.blockcasings3:12, Radiation Proof Machine Casing
gregtech:gt.blockcasings3:13, Bronze Firebox Casing
gregtech:gt.blockcasings3:14, Steel Firebox Casing
gregtech:gt.blockcasings3:15, Tungstensteel Firebox Casing
gregtech:gt.blockcasings4:0, Robust Tungstensteel Machine Casing
gregtech:gt.blockcasings4:1, Clean Stainless Steel Machine Casing
gregtech:gt.blockcasings4:2, Stable Titanium Machine Casing
gregtech:gt.blockcasings4:3, Titanium Firebox Casing
gregtech:gt.blockcasings4:6, Fusion Machine Casing
gregtech:gt.blockcasings4:7, Fusion Coil Block
gregtech:gt.blockcasings4:8, Fusion Machine Casing MK II
gregtech:gt.blockcasings4:9, Turbine Casing
gregtech:gt.blockcasings4:10, Stainless Steel Turbine Casing
gregtech:gt.blockcasings4:11, Titanium Turbine Casing
gregtech:gt.blockcasings4:12, Tungstensteel Turbine Casing
gregtech:gt.blockcasings4:13, Engine Intake Casing
gregtech:gt.blockcasings4:14, Mining Osmiridium Casing
gregtech:gt.blockcasings4:15, Firebricks
gregtech:gt.blockcasings5:0, Cupronickel Coil Block
gregtech:gt.blockcasings5:1, Kanthal Coil Block
gregtech:gt.blockcasings5:2, Nichrome Coil Block
gregtech:gt.blockcasings5:3, TPV-Alloy Coil Block
gregtech:gt.blockcasings5:4, HSS-G Coil Block
gregtech:gt.blockcasings5:5, Naquadah Coil Block
gregtech:gt.blockcasings5:6, Naquadah Alloy Coil Block
gregtech:gt.blockcasings5:7, Electrum Flux Coil Block
gregtech:gt.blockcasings5:8, Awakened Draconium Coil Block
gregtech:gt.blockcasings5:9, HSS-S Coil Block
gregtech:gt.blockcasings5:10, Trinium Coil Block
gregtech:gt.blockcasings5:11, Infinity Coil Block
gregtech:gt.blockcasings5:12, Hypogen Coil Block
gregtech:gt.blockcasings5:13, Eternal Coil Block
gregtech:gt.blockcasings6:0, Hermetic Casing
gregtech:gt.blockcasings6:1, Hermetic Casing I
gregtech:gt.blockcasings6:2, Hermetic Casing II
gregtech:gt.blockcasings6:3, Hermetic Casing III
gregtech:gt.blockcasings6:4, Hermetic Casing IV
gregtech:gt.blockcasings6:5, Hermetic Casing V
gregtech:gt.blockcasings6:6, Hermetic Casing VI
gregtech:gt.blockcasings6:7, Hermetic Casing VII
gregtech:gt.blockcasings6:8, Hermetic Casing VIII
gregtech:gt.blockcasings6:9, Hermetic Casing IX
gregtech:gt.blockcasings6:10, Hermetic Casing X
gregtech:gt.blockcasings6:11, Hermetic Casing XI
gregtech:gt.blockcasings6:12, Hermetic Casing XII
gregtech:gt.blockcasings6:13, Hermetic Casing XIII
gregtech:gt.blockcasings6:14, Hermetic Casing XIV
gregtech:gt.blockcasings8:0, Chemically Inert Machine Casing
gregtech:gt.blockcasings8:1, PTFE Pipe Casing
gregtech:gt.blockcasings8:2, Mining Neutronium Casing
gregtech:gt.blockcasings8:3, Mining Black Plutonium Casing
gregtech:gt.blockcasings8:4, Extreme Engine Intake Casing
gregtech:gt.blockcasings8:5, Europium Reinforced Radiation Proof Machine Casing
gregtech:gt.blockcasings8:6, Advanced Rhodium Plated Palladium Machine Casing
gregtech:gt.blockcasings8:7, Advanced Iridium Plated Machine Casing
gregtech:gt.blockcasings8:8, Magical Machine Casing
gregtech:gt.blockcasings8:10, Radiant Naquadah Alloy Casing
gregtech:gt.blockcasings8:11, Basic Photolithographic Framework Casing
gregtech:gt.blockcasings8:12, Reinforced Photolithographic Framework Casing
gregtech:gt.blockcasings8:13, Radiation Proof Photolithographic Framework Casing
gregtech:gt.blockcasings8:14, Infinity Cooled Casing
gregtech:gt.blockcasings9:0, PBI Pipe Casing
gregtech:gt.blockcasings9:1, Advanced Filter Casing
gregtech:gt.blockcasings9:2, Primitive Wooden Casing
gregtech:gt.blockcasings9:3, Superplasticizer-Treated High Strength Concrete
gregtech:gt.blockcasings9:4, Sterile Water Plant Casing
gregtech:gt.blockcasings9:5, Reinforced Sterile Water Plant Casing
gregtech:gt.blockcasings9:6, Slick Sterile Flocculation Casing
gregtech:gt.blockcasings9:7, Stabilized Naquadah Water Plant Casing
gregtech:gt.blockcasings9:8, Inert Neutralization Water Plant Casing
gregtech:gt.blockcasings9:9, Reactive Gas Containment Casing
gregtech:gt.blockcasings9:10, Inert Filtration Casing
gregtech:gt.blockcasings9:11, Heat-Resistant Trinium Plated Casing
gregtech:gt.blockcasings9:12, Naquadria-Reinforced Water Plant Casing
gregtech:gt.blockcasings9:13, High Energy Ultraviolet Emitter Casing
gregtech:gt.blockcasings9:14, Particle Beam Guidance Pipe Casing
gregtech:gt.blockcasings9:15, Femtometer-Calibrated Particle Beam Casing
gregtech:gt.blockcasings10:0, MagTech Casing
gregtech:gt.blockcasings10:1, Laser Containment Casing
gregtech:gt.blockcasings10:2, Quark Exclusion Casing
gregtech:gt.blockcasings10:3, Pressure Containment Casing
gregtech:gt.blockcasings10:4, Electric Compressor Casing
gregtech:gt.blockcasings10:5, Compression Pipe Casing
gregtech:gt.blockcasings10:6, Neutronium Casing
gregtech:gt.blockcasings10:7, Active Neutronium Casing
gregtech:gt.blockcasings10:8, Neutronium Stabilization Casing
gregtech:gt.blockcasings10:9, Coolant Duct
gregtech:gt.blockcasings10:10, Heating Duct
gregtech:gt.blockcasings10:11, Extreme Density Space-Bending Casing
gregtech:gt.blockcasings10:12, Background Radiation Absorbent Casing
gregtech:gt.blockcasings10:13, Solidifier Casing
gregtech:gt.blockcasings10:14, Solidifier Radiator
gregtech:gt.blockcasings10:15, Reinforced Wooden Casing
gregtech:gt.blockcasings11:0, Tin Item Pipe Casing
gregtech:gt.blockcasings11:1, Brass Item Pipe Casing
gregtech:gt.blockcasings11:2, Electrum Item Pipe Casing
gregtech:gt.blockcasings11:3, Platinum Item Pipe Casing
gregtech:gt.blockcasings11:4, Osmium Item Pipe Casing
gregtech:gt.blockcasings11:5, Quantium Item Pipe Casing
gregtech:gt.blockcasings11:6, Fluxed Electrum Item Pipe Casing
gregtech:gt.blockcasings11:7, Black Plutonium Item Pipe Casing
gregtech:gt.blockcasings12:0, Coke Oven Bricks
gregtech:gt.blockcasings12:1, Nanochip Mesh Interface Casing
gregtech:gt.blockcasings12:2, Nanochip Reinforcement Casing
gregtech:gt.blockcasings12:3, Nanochip Computational Matrix Casing
gregtech:gt.blockcasings12:4, Nanochip Firewall Projection Casing
gregtech:gt.blockcasings12:5, Strengthened Inanimate Machine Casing
gregtech:gt.blockcasings12:6, Precise Stationary Machine Casing
gregtech:gt.blockcasings12:7, Ultimately Static Machine Casing
gregtech:gt.blockcasings12:9, Vibration-Safe Casing
gregtech:gt.blockcasings12:10, Alchemically Resistant Thaumium Casing
gregtech:gt.blockcasings12:11, Alchemically Inert Void Casing
gregtech:gt.blockcasings12:12, Alchemically Immune Ichorium Casing
gregtech:gt.blockcasings12:13, Mixer Casing
gregtech:gt.blockcasings12:14, Forming Core
gregtech:gt.blockcasings13:0, Cable Casing
gregtech:gt.blockcasings13:1, Graphite Moderator Casing
gregtech:gt.blockcasings13:2, Insulated Fluid Pipe Casing
gregtech:gt.blockcasings13:3, Beryllium Integrated Reactor Casing
gregtech:gt.blockcasings13:4, Refined Graphite Block
gregtech:gt.blockcasings13:5, Precision Field Sync Casing
gregtech:gt.blockcasings13:6, Magnetic Anchor Casing
gregtech:gt.blockcasings13:7, Field Energy Absorber Casing
gregtech:gt.blockcasings13:8, Loadbearing Distribution Casing
gregtech:gt.blockcasings13:9, Nanite Replication Framework
gregtech:gt.blockcasings13:10, Collider Casing
gregtech:gt.blockcasings13:11, Charged Matter Sensor Casing
gregtech:gt.blockcasings13:12, Advanced Total Lepton Assimilation Snare Casing
gregtech:gt.blockcasings13:13, Absolute Lattice Integrated Chromodynamic Encapsulator Casing
gregtech:gt.blockcasings13:14, Localized Horizon Curvature Binder Casing
gregtech:gt.blockcasings13:15, Naquadah Reactor Casing
gregtech:gt.blockcasingsNH:0, Air Filter Turbine Casing
gregtech:gt.blockcasingsNH:1, Air Filter Vent Casing
gregtech:gt.blockcasingsNH:2, Pyrolyse Oven Casing
gregtech:gt.blockcasingsNH:3, Advanced Air Filter Turbine Casing
gregtech:gt.blockcasingsNH:4, Advanced Air Filter Vent Casing
gregtech:gt.blockcasingsNH:5, Super Air Filter Turbine Casing
gregtech:gt.blockcasingsNH:6, Super Air Filter Vent Casing
gregtech:gt.blockcasingsNH:10, UEV Machine Casing
gregtech:gt.blockcasingsNH:11, UIV Machine Casing
gregtech:gt.blockcasingsNH:12, UMV Machine Casing
gregtech:gt.blockcasingsNH:13, UXV Machine Casing
gregtech:gt.blockcasingsNH:14, MAX Machine Casing
gregtech:gt.foundrycasings:0, Primary Exo-Foundry Casing
gregtech:gt.foundrycasings:1, Infinite Magnetic Chassis
gregtech:gt.foundrycasings:2, Eternal Magnetic Chassis
gregtech:gt.foundrycasings:3, Celestial Magnetic Chassis
gregtech:gt.foundrycasings:4, Universal Collapser Casing
gregtech:gt.foundrycasings:5, Sentient Overclocker Casing
gregtech:gt.foundrycasings:6, Proto-Volt Stabilizer Casing
gregtech:gt.foundrycasings:7, Heliocast Reinforcement Casing
gregtech:gt.foundrycasings:8, Superdense Casting Basin Casing
gregtech:gt.foundrycasings:9, Hypercooler Casing
gregtech:gt.foundrycasings:10, Streamlined Casting Casing
gregtech:gt.foundrycasings:11, Inner Exo-Foundry Siphon Casing
gregtech:gt.foundrycasings:12, Central Exo-Foundry Regulation Casing
gregtech:gt.blockcasings.bec:0, Coherence-preserving Plasma Conduit
gregtech:gt.blockcasings.bec:1, Electromagnetically-isolated Casing
gregtech:gt.blockcasings.bec:2, Fine-structure Constant Manipulator
gregtech:gt.blockgranites:0, Black Granite
gregtech:gt.blockgranites:1, Black Granite Cobblestone
gregtech:gt.blockgranites:2, Mossy Black Granite Cobblestone
gregtech:gt.blockgranites:3, Black Granite Bricks
gregtech:gt.blockgranites:4, Cracked Black Granite Bricks
gregtech:gt.blockgranites:5, Mossy Black Granite Bricks
gregtech:gt.blockgranites:6, Chiseled Black Granite
gregtech:gt.blockgranites:7, Smooth Black Granite
gregtech:gt.blockgranites:8, Red Granite
gregtech:gt.blockgranites:9, Red Granite Cobblestone
gregtech:gt.blockgranites:10, Mossy Red Granite Cobblestone
gregtech:gt.blockgranites:11, Red Granite Bricks
gregtech:gt.blockgranites:12, Cracked Red Granite Bricks
